921 1167
35 36 34.36317430436946
35 305 25.583715863561604
36 305 38.969355211620446
36 35 34.36317430436946
36 718 55.36005022671741
37 38 10.804347624163295
37 144 135.80066278862392
37 218 212.9358727635316
38 37 10.804347624163295
38 604 158.2158265718525
38 217 310.4046575507755
39 87 90.72559030501685
40 504 14.855033334563297
40 763 99.02581862052506
40 380 75.52661958283669
41 476 68.6928175927946
41 719 195.99803873636904
41 120 133.31376875844933
42 80 65.90407612344663
43 318 155.89740583840978
44 778 14.081148157251809
44 920 106.24549513338226
44 345 25.61942163939828
45 807 62.82718210105332
45 219 303.7389913544546
46 47 42.71899245258592
46 845 49.61124334816465
46 280 40.87507634608907
47 279 21.159338213845015
47 46 42.71899245258592
47 280 49.7950829259225
48 192 74.27637111978434
48 191 96.4139927147533
48 312 154.57461008617634
49 470 66.02810050167399
49 247 128.47377383349493
49 143 193.19657623845535
50 192 146.09437357646155
50 134 49.51515851596519
50 74 182.49636196191742
51 31 148.62473359702585
51 605 61.91980518900689
51 606 81.24934742461602
52 333 98.68005451189191
53 207 68.97754408500596
53 142 71.70569715337582
53 698 97.78224774200919
54 819 9.25067865010627
54 540 50.866175866289296
54 55 164.4389794006362
55 54 164.4389794006362
56 8 71.69430339997197
57 115 89.93225395888818
57 32 245.6855581305441
57 550 76.18733518512015
58 138 24.452880797258672
58 359 173.50645955975514
58 885 22.351590988810944
59 286 140.83692561583626
60 871 157.96522619367684
60 30 61.64298236257868
60 619 9.489011290322598
61 276 94.82797998272568
61 342 104.13192922866027
61 619 95.32095987004989
62 17 104.15777385611565
62 107 136.44648853641453
62 108 64.0803507212375
63 247 111.98994623298307
63 263 97.36045202214895
63 64 452.43562289464705
64 63 452.43562289464705
65 752 41.08791002385931
65 785 36.335409467085924
65 446 106.08113216150052
65 629 86.89484924614293
66 655 66.58148863611333
66 513 113.67841556621326
66 783 125.79424694141261
67 428 23.211857577735543
67 68 148.53732339388603
67 732 140.26363835138704
68 69 103.11877897137074
68 67 148.53732339388603
69 812 3.7926466910514236
69 68 103.11877897137074
69 814 124.91398698976171
70 235 160.90245526227642
70 71 194.55457082009323
70 221 173.9116470595719
71 70 194.55457082009323
71 72 121.34405289567496
71 251 135.89351038311165
72 71 121.34405289567496
72 73 288.94319856571076
72 302 129.37713036954787
73 72 288.94319856571076
73 221 88.63768530911581
73 522 292.99146533687633
74 50 182.49636196191742
74 233 208.32599352711327
74 21 232.11805849079408
75 76 49.102628592120055
75 201 289.97286647300126
75 200 302.31257670482137
76 75 49.102628592120055
76 77 60.83456391958598
76 82 313.6341146070746
77 76 60.83456391958598
77 78 96.51561279456848
77 82 260.02569122902645
78 77 96.51561279456848
78 79 50.99307942271378
78 81 306.0079117295229
79 78 50.99307942271378
79 80 102.96995019909698
79 440 75.51465171633447
80 79 102.96995019909698
80 81 316.13297035199867
80 42 65.90407612344663
81 80 316.13297035199867
81 82 121.78064215572861
81 78 306.0079117295229
82 81 121.78064215572861
82 76 313.6341146070746
82 77 260.02569122902645
83 178 174.4688857801487
84 592 349.5752132006014
85 140 74.62243339358383
86 87 144.80768921303613
86 265 130.50144195997285
86 28 190.18752739814929
87 86 144.80768921303613
87 88 56.41204963725871
87 39 90.72559030501685
88 87 56.41204963725871
88 28 114.88209714729774
88 239 132.8100165289985
89 725 118.46512879278379
89 278 110.7442691287861
89 834 153.60195520748945
90 843 11.454474433758387
90 725 206.89156553804597
90 912 82.03852854283751
91 843 40.98238041230939
91 839 49.4934335247431
91 841 106.59574768319288
92 839 9.341224644586138
93 856 6.250812418191792
93 448 12.221507790895915
93 94 68.9266712873451
94 93 68.9266712873451
94 95 146.335582259835
94 300 173.91363327909437
95 834 4.065024201494275
95 94 146.335582259835
95 96 166.21257265856434
96 301 132.3191466646239
96 95 166.21257265856434
96 97 196.51231048534618
97 98 4.680102763238844
97 96 196.51231048534618
97 259 132.0255742960141
98 97 4.680102763238844
98 461 167.5935985646973
98 339 114.82704526004576
99 802 315.36857034715274
100 101 429.6858063974369
100 330 94.53261639210436
100 224 90.99054927253444
101 746 58.986462482402494
101 100 429.6858063974369
101 133 69.76641293181655
102 103 114.74796161767037
102 857 217.4425921131764
102 106 140.06752437362445
103 102 114.74796161767037
103 359 318.5583624770491
103 885 282.99549787952805
104 25 41.174257594492424
104 857 119.43150484090388
104 24 32.74517948731426
105 468 8.45165149873147
105 106 114.69621653336611
105 23 105.933377065872
106 105 114.69621653336611
106 102 140.06752437362445
106 209 487.104138932379
107 128 78.44882444057214
107 62 136.44648853641453
107 594 90.89883935323748
108 62 64.0803507212375
108 109 81.53800696501983
108 321 207.86809547886185
109 108 81.53800696501983
109 824 68.29468294629055
110 824 27.158870255673182
110 823 20.141391280825072
110 640 128.46628969522658
111 645 51.2534601792611
111 234 79.32284165724641
111 235 231.93609922766535
112 113 74.65443814426281
112 417 112.84986094222275
112 128 148.68623558261513
113 112 74.65443814426281
114 690 1852.6283234506363
115 57 89.93225395888818
115 551 103.45683485803409
115 116 141.774963560476
115 660 161.4020207139586
116 320 83.54463945817942
116 115 141.774963560476
116 117 208.03480242057276
117 116 208.03480242057276
117 727 156.93436239589056
117 672 149.47089764999097
117 221 123.0588726561835
118 728 30.09383134726814
118 918 203.7574203717709
118 33 90.62199645493696
119 288 183.47228309709823
119 581 91.04216093480954
119 570 51.663693237483265
120 687 75.30522811785025
120 22 117.3741763741404
120 763 252.71679599747108
120 41 133.31376875844933
121 552 17.901665057426705
121 445 66.58153125376941
121 444 52.87103163617157
122 880 26.258977575452878
122 588 56.90092236148778
122 341 51.77306748385636
123 124 107.22267511473862
123 732 12.84724255127541
123 146 245.670936572061
124 123 107.22267511473862
124 125 143.418060908073
124 325 362.9776943951915
124 291 175.69493590415132
125 124 143.418060908073
125 243 231.63265289887175
125 343 115.58041227041116
126 127 157.70970727863795
126 203 204.7263213268683
126 204 53.171250356255754
127 407 132.76857436085277
127 126 157.70970727863795
127 232 78.48069914531779
128 413 21.933158921456158
128 107 78.44882444057214
128 112 148.68623558261513
129 594 21.33451890225171
129 130 123.9073270225285
129 257 194.7970213753786
130 129 123.9073270225285
130 131 15.680035043812612
130 321 207.72493870427706
131 130 15.680035043812612
131 901 28.712433946936372
131 132 143.64066010994253
132 750 19.747267063505422
132 131 143.64066010994253
132 330 439.57150715959796
133 101 69.76641293181655
133 195 230.8039427973467
133 181 105.32244208424143
134 50 49.51515851596519
134 135 125.36659971562925
134 663 153.7352676199218
